timestep: 630000, actor_loss: -361.7493896484375, critic_loss: 51.940216064453125	
timestep: 633000, actor_loss: -334.59857177734375, critic_loss: 15.720926284790039	
timestep: 636000, actor_loss: -348.49908447265625, critic_loss: 13.426132202148438	
timestep: 639000, actor_loss: -331.4424133300781, critic_loss: 62.5660285949707	
timestep: 642000, actor_loss: -338.87091064453125, critic_loss: 132.2815704345703	
timestep: 645000, actor_loss: -358.8273010253906, critic_loss: 32.43421173095703	
timestep: 648000, actor_loss: -337.7239074707031, critic_loss: 28.838781356811523	
timestep: 651000, actor_loss: -346.5538024902344, critic_loss: 20.85130500793457	
timestep: 654000, actor_loss: -334.145263671875, critic_loss: 688.4647827148438	
timestep: 657000, actor_loss: -333.6695251464844, critic_loss: 18.5902099609375	
timestep: 660000, actor_loss: -327.618408203125, critic_loss: 37.697181701660156	
timestep: 663000, actor_loss: -343.01226806640625, critic_loss: 65.70746612548828	
timestep: 666000, actor_loss: -329.59765625, critic_loss: 192.36231994628906	
timestep: 669000, actor_loss: -324.5413818359375, critic_loss: 31.241535186767578	
timestep: 672000, actor_loss: -328.23541259765625, critic_loss: 72.8165054321289	
timestep: 675000, actor_loss: -338.08734130859375, critic_loss: 15.58352279663086	
timestep: 678000, actor_loss: -342.4410400390625, critic_loss: 11.685924530029297	
timestep: 681000, actor_loss: -315.4597473144531, critic_loss: 30.033390045166016	
timestep: 684000, actor_loss: -317.23370361328125, critic_loss: 121.91637420654297	
timestep: 687000, actor_loss: -335.75408935546875, critic_loss: 16.53158187866211	
timestep: 690000, actor_loss: -333.03399658203125, critic_loss: 21.50861358642578	
timestep: 693000, actor_loss: -336.5402526855469, critic_loss: 26.912883758544922	
timestep: 696000, actor_loss: -322.132080078125, critic_loss: 42.27788162231445	
timestep: 699000, actor_loss: -331.56494140625, critic_loss: 18.311412811279297	
timestep: 702000, actor_loss: -325.7557067871094, critic_loss: 44.535911560058594	
timestep: 705000, actor_loss: -332.83966064453125, critic_loss: 26.683828353881836	
timestep: 708000, actor_loss: -329.9669189453125, critic_loss: 19.43758773803711	
timestep: 711000, actor_loss: -337.1532287597656, critic_loss: 62.047245025634766	
timestep: 714000, actor_loss: -338.09906005859375, critic_loss: 30.296159744262695	
timestep: 717000, actor_loss: -312.08233642578125, critic_loss: 73.1759033203125	
timestep: 720000, actor_loss: -329.52789306640625, critic_loss: 13.415005683898926	
timestep: 723000, actor_loss: -326.37127685546875, critic_loss: 17.031030654907227	
timestep: 726000, actor_loss: -329.08599853515625, critic_loss: 1090.9237060546875	
timestep: 729000, actor_loss: -337.9748229980469, critic_loss: 18.961483001708984	
timestep: 732000, actor_loss: -330.9338073730469, critic_loss: 13.373473167419434	
timestep: 735000, actor_loss: -324.4565734863281, critic_loss: 149.71873474121094	
timestep: 738000, actor_loss: -330.8628845214844, critic_loss: 36.2872314453125	
timestep: 741000, actor_loss: -331.63507080078125, critic_loss: 25.702735900878906	
timestep: 744000, actor_loss: -325.29290771484375, critic_loss: 94.21825408935547	
timestep: 747000, actor_loss: -329.519287109375, critic_loss: 18.23240089416504	
timestep: 750000, actor_loss: -332.4630432128906, critic_loss: 18.735668182373047	
timestep: 753000, actor_loss: -318.66815185546875, critic_loss: 17.058773040771484	
timestep: 756000, actor_loss: -334.2452392578125, critic_loss: 1219.8271484375	
timestep: 759000, actor_loss: -334.010498046875, critic_loss: 31.909584045410156	
timestep: 762000, actor_loss: -332.6070251464844, critic_loss: 14.43017864227295	
timestep: 765000, actor_loss: -332.7182922363281, critic_loss: 12.004853248596191	
timestep: 768000, actor_loss: -330.95269775390625, critic_loss: 75.3876724243164	
timestep: 771000, actor_loss: -326.55816650390625, critic_loss: 18.207630157470703	
timestep: 774000, actor_loss: -317.85546875, critic_loss: 13.972963333129883	
timestep: 777000, actor_loss: -328.3211364746094, critic_loss: 13.864313125610352	
timestep: 780000, actor_loss: -312.80072021484375, critic_loss: 24.97842025756836	
timestep: 783000, actor_loss: -312.48077392578125, critic_loss: 47.13407897949219	
timestep: 786000, actor_loss: -332.66241455078125, critic_loss: 31.068525314331055	
timestep: 789000, actor_loss: -322.8606872558594, critic_loss: 10.388916015625	
timestep: 792000, actor_loss: -322.4594421386719, critic_loss: 32.72428512573242	
timestep: 795000, actor_loss: -331.32916259765625, critic_loss: 23.23541259765625	
timestep: 798000, actor_loss: -334.73809814453125, critic_loss: 61.86357498168945	
timestep: 801000, actor_loss: -320.2812805175781, critic_loss: 19.01137351989746	
timestep: 804000, actor_loss: -332.8473815917969, critic_loss: 11.69113540649414	
timestep: 807000, actor_loss: -331.35064697265625, critic_loss: 18.347900390625	
timestep: 810000, actor_loss: -330.90576171875, critic_loss: 48.82596206665039	
timestep: 813000, actor_loss: -336.37347412109375, critic_loss: 33.88458251953125	
timestep: 816000, actor_loss: -331.43646240234375, critic_loss: 34.487911224365234	
timestep: 819000, actor_loss: -325.39324951171875, critic_loss: 18.46746253967285	
timestep: 822000, actor_loss: -321.85308837890625, critic_loss: 69.0323486328125	
timestep: 825000, actor_loss: -346.99163818359375, critic_loss: 20.80862808227539	
timestep: 828000, actor_loss: -344.517578125, critic_loss: 37.68556213378906	
timestep: 831000, actor_loss: -355.916015625, critic_loss: 17.717588424682617	
timestep: 834000, actor_loss: -349.5697937011719, critic_loss: 42.25312805175781	
timestep: 837000, actor_loss: -361.4500732421875, critic_loss: 44.152061462402344	
timestep: 840000, actor_loss: -361.1692199707031, critic_loss: 17.471996307373047	
timestep: 843000, actor_loss: -338.3965148925781, critic_loss: 110.3380126953125	
timestep: 846000, actor_loss: -370.92401123046875, critic_loss: 24.36187171936035	
timestep: 849000, actor_loss: -366.170654296875, critic_loss: 32.93829345703125	
timestep: 852000, actor_loss: -351.9681701660156, critic_loss: 35.566959381103516	
timestep: 855000, actor_loss: -359.38543701171875, critic_loss: 37.80628967285156	
timestep: 858000, actor_loss: -372.18975830078125, critic_loss: 17.800395965576172	
timestep: 861000, actor_loss: -378.0738830566406, critic_loss: 57.318939208984375	
timestep: 864000, actor_loss: -353.44451904296875, critic_loss: 112.02629089355469	
timestep: 867000, actor_loss: -372.12713623046875, critic_loss: 125.51528930664062	
timestep: 870000, actor_loss: -374.693603515625, critic_loss: 95.74787902832031	
timestep: 873000, actor_loss: -365.9043273925781, critic_loss: 24.063152313232422	
timestep: 876000, actor_loss: -350.07220458984375, critic_loss: 42.17826843261719	
timestep: 879000, actor_loss: -347.92498779296875, critic_loss: 33.55636215209961	
timestep: 882000, actor_loss: -350.0306701660156, critic_loss: 13.400181770324707	
timestep: 885000, actor_loss: -354.280517578125, critic_loss: 17.18421745300293	
timestep: 888000, actor_loss: -347.2114562988281, critic_loss: 38.626075744628906	
timestep: 891000, actor_loss: -361.4914245605469, critic_loss: 20.72745132446289	
timestep: 894000, actor_loss: -352.6422424316406, critic_loss: 37.68111038208008	
timestep: 897000, actor_loss: -354.13134765625, critic_loss: 48.59190368652344	
timestep: 900000, actor_loss: -334.7282409667969, critic_loss: 23.14870834350586	
timestep: 903000, actor_loss: -347.70452880859375, critic_loss: 16.062711715698242	
timestep: 906000, actor_loss: -340.87847900390625, critic_loss: 101.38414764404297	
timestep: 909000, actor_loss: -341.7550048828125, critic_loss: 255.8247528076172	
timestep: 912000, actor_loss: -339.150390625, critic_loss: 46.691009521484375	
timestep: 915000, actor_loss: -340.787841796875, critic_loss: 9.38604736328125	
timestep: 918000, actor_loss: -343.3367919921875, critic_loss: 31.84881019592285	
timestep: 921000, actor_loss: -341.4737548828125, critic_loss: 31.475341796875	
timestep: 924000, actor_loss: -343.575439453125, critic_loss: 23.761974334716797	
timestep: 927000, actor_loss: -350.852783203125, critic_loss: 57.020816802978516	
timestep: 930000, actor_loss: -345.7755432128906, critic_loss: 19.58110809326172	
timestep: 933000, actor_loss: -339.58575439453125, critic_loss: 46.21989440917969	
timestep: 936000, actor_loss: -335.90673828125, critic_loss: 16.52227210998535	
timestep: 939000, actor_loss: -331.2801513671875, critic_loss: 83.09764862060547	
timestep: 942000, actor_loss: -331.28839111328125, critic_loss: 32.10664749145508	
timestep: 945000, actor_loss: -341.28900146484375, critic_loss: 253.1398162841797	
timestep: 948000, actor_loss: -345.9761962890625, critic_loss: 26.22378921508789	
timestep: 951000, actor_loss: -355.45745849609375, critic_loss: 18.567642211914062	
timestep: 954000, actor_loss: -342.49365234375, critic_loss: 18.370819091796875	
timestep: 957000, actor_loss: -346.55804443359375, critic_loss: 29.21521759033203	
timestep: 960000, actor_loss: -336.9842529296875, critic_loss: 24.377540588378906	
timestep: 963000, actor_loss: -343.6455383300781, critic_loss: 31.771862030029297	
timestep: 966000, actor_loss: -354.9600524902344, critic_loss: 266.0295104980469	
timestep: 969000, actor_loss: -340.0379638671875, critic_loss: 159.9649658203125	
timestep: 972000, actor_loss: -369.0567626953125, critic_loss: 42.667442321777344	
timestep: 975000, actor_loss: -369.44207763671875, critic_loss: 17.398052215576172	
timestep: 978000, actor_loss: -367.1964416503906, critic_loss: 28.01873779296875	
timestep: 981000, actor_loss: -349.6611633300781, critic_loss: 24.780380249023438	
timestep: 984000, actor_loss: -373.1140441894531, critic_loss: 16.82448387145996	
timestep: 987000, actor_loss: -347.64666748046875, critic_loss: 12.958030700683594	
timestep: 990000, actor_loss: -348.0599670410156, critic_loss: 33.725616455078125	
timestep: 993000, actor_loss: -362.0742492675781, critic_loss: 157.8497314453125	
timestep: 996000, actor_loss: -358.4193115234375, critic_loss: 25.54090118408203	
timestep: 999000, actor_loss: -363.60760498046875, critic_loss: 22.30858612060547	
timestep: 1002000, actor_loss: -334.08709716796875, critic_loss: 20.575206756591797	
timestep: 1005000, actor_loss: -350.23724365234375, critic_loss: 13.38304328918457	
