timestep: 354000, critic_loss: 71.37358093261719, actor_loss -250.84339904785156
timestep: 355000, critic_loss: 13.794177055358887, actor_loss -258.1205749511719
timestep: 356000, critic_loss: 7.7822585105896, actor_loss -262.0728759765625
timestep: 357000, critic_loss: 20.347579956054688, actor_loss -261.9051818847656
timestep: 358000, critic_loss: 28.772563934326172, actor_loss -258.4377746582031
timestep: 359000, critic_loss: 70.74343872070312, actor_loss -266.37982177734375
timestep: 360000, critic_loss: 68.13822937011719, actor_loss -261.791259765625
timestep: 361000, critic_loss: 741.04443359375, actor_loss -265.333740234375
timestep: 362000, critic_loss: 14.26426887512207, actor_loss -260.81243896484375
timestep: 363000, critic_loss: 9.301290512084961, actor_loss -267.9283447265625
timestep: 364000, critic_loss: 183.48458862304688, actor_loss -267.28326416015625
timestep: 365000, critic_loss: 96.06938934326172, actor_loss -263.9957275390625
timestep: 366000, critic_loss: 16.985750198364258, actor_loss -261.049072265625
timestep: 367000, critic_loss: 28.03598976135254, actor_loss -268.0350341796875
timestep: 368000, critic_loss: 49.032711029052734, actor_loss -260.73370361328125
timestep: 369000, critic_loss: 44.18140411376953, actor_loss -260.9661865234375
timestep: 370000, critic_loss: 20.37591552734375, actor_loss -267.6837158203125
timestep: 371000, critic_loss: 12.14834213256836, actor_loss -266.8388671875
timestep: 372000, critic_loss: 22.786582946777344, actor_loss -258.89727783203125
timestep: 373000, critic_loss: 222.15170288085938, actor_loss -264.61676025390625
timestep: 374000, critic_loss: 24.532033920288086, actor_loss -256.8185119628906
timestep: 375000, critic_loss: 15.228157043457031, actor_loss -264.614990234375
timestep: 376000, critic_loss: 14.464420318603516, actor_loss -267.83575439453125
timestep: 377000, critic_loss: 23.98077964782715, actor_loss -264.087646484375
timestep: 378000, critic_loss: 81.50131225585938, actor_loss -258.9880676269531
