

 td3 _ seed: 0 

timestep: 376000, acc_reward: 3516.58
timestep: 377000, acc_reward: 3473.16
timestep: 378000, acc_reward: 3513.96
timestep: 379000, acc_reward: 3405.29
timestep: 380000, acc_reward: 3547.46
timestep: 381000, acc_reward: 3443.30
timestep: 382000, acc_reward: 2733.11
timestep: 383000, acc_reward: 3402.90
timestep: 384000, acc_reward: 2939.52
timestep: 385000, acc_reward: 3463.95
timestep: 386000, acc_reward: 3464.32
timestep: 387000, acc_reward: 3472.15
timestep: 388000, acc_reward: 3414.20
timestep: 389000, acc_reward: 3485.34
timestep: 390000, acc_reward: 3481.20
timestep: 391000, acc_reward: 3515.12
timestep: 392000, acc_reward: 3415.39
timestep: 393000, acc_reward: 3437.57
timestep: 394000, acc_reward: 3337.53
timestep: 395000, acc_reward: 3355.45
timestep: 396000, acc_reward: 3451.80
timestep: 397000, acc_reward: 3462.26
timestep: 398000, acc_reward: 3399.72
timestep: 399000, acc_reward: 2773.38
timestep: 400000, acc_reward: 3452.17
timestep: 401000, acc_reward: 3053.42
timestep: 402000, acc_reward: 3456.84
timestep: 403000, acc_reward: 3390.12
timestep: 404000, acc_reward: 3430.86
timestep: 405000, acc_reward: 3452.07
timestep: 406000, acc_reward: 2671.83
timestep: 407000, acc_reward: 3525.52
timestep: 408000, acc_reward: 3426.23
timestep: 409000, acc_reward: 3323.03
timestep: 410000, acc_reward: 3461.65
timestep: 411000, acc_reward: 3457.08
timestep: 412000, acc_reward: 3477.51
timestep: 413000, acc_reward: 3536.04
timestep: 414000, acc_reward: 3357.01
timestep: 415000, acc_reward: 3486.89
timestep: 416000, acc_reward: 3257.35
timestep: 417000, acc_reward: 3483.47
timestep: 418000, acc_reward: 3478.84
timestep: 419000, acc_reward: 2914.03
timestep: 420000, acc_reward: 3406.76
timestep: 421000, acc_reward: 3453.62
timestep: 422000, acc_reward: 3517.29
timestep: 423000, acc_reward: 1352.02
timestep: 424000, acc_reward: 2456.48
timestep: 425000, acc_reward: 2829.03
timestep: 426000, acc_reward: 3467.25
timestep: 427000, acc_reward: 3485.55
timestep: 428000, acc_reward: 3226.32
timestep: 429000, acc_reward: 3449.97
timestep: 430000, acc_reward: 3502.49
timestep: 431000, acc_reward: 2386.23
timestep: 432000, acc_reward: 1802.46
timestep: 433000, acc_reward: 3437.14
timestep: 434000, acc_reward: 3434.60
timestep: 435000, acc_reward: 3443.56
timestep: 436000, acc_reward: 3433.39
timestep: 437000, acc_reward: 3331.48
timestep: 438000, acc_reward: 3085.85
timestep: 439000, acc_reward: 188.28
timestep: 440000, acc_reward: 3490.40
timestep: 441000, acc_reward: 3533.99
timestep: 442000, acc_reward: 3391.32
timestep: 443000, acc_reward: 3540.25
timestep: 444000, acc_reward: 3313.22
timestep: 445000, acc_reward: 3547.85
timestep: 446000, acc_reward: 3478.98
timestep: 447000, acc_reward: 2330.93
timestep: 448000, acc_reward: 3439.66
timestep: 449000, acc_reward: 3516.05
timestep: 450000, acc_reward: 3552.95
timestep: 451000, acc_reward: 3377.69
timestep: 452000, acc_reward: 1360.55
timestep: 453000, acc_reward: 3480.95
timestep: 454000, acc_reward: 1461.87
timestep: 455000, acc_reward: 2473.28
timestep: 456000, acc_reward: 3437.83
timestep: 457000, acc_reward: 3512.14
timestep: 458000, acc_reward: 3535.14
timestep: 459000, acc_reward: 3464.68
timestep: 460000, acc_reward: 3437.12
timestep: 461000, acc_reward: 3438.61
timestep: 462000, acc_reward: 3450.14
timestep: 463000, acc_reward: 2676.23
timestep: 464000, acc_reward: 3086.47
timestep: 465000, acc_reward: 3051.42
timestep: 466000, acc_reward: 3509.50
timestep: 467000, acc_reward: 3483.19
timestep: 468000, acc_reward: 3493.26
timestep: 469000, acc_reward: 1630.82
timestep: 470000, acc_reward: 3483.44
timestep: 471000, acc_reward: 3482.93
timestep: 472000, acc_reward: 3534.09
timestep: 473000, acc_reward: 3458.41
timestep: 474000, acc_reward: 3547.53
timestep: 475000, acc_reward: 3246.76
timestep: 476000, acc_reward: 3134.88
timestep: 477000, acc_reward: 3444.07
timestep: 478000, acc_reward: 3472.73
timestep: 479000, acc_reward: 3510.05
timestep: 480000, acc_reward: 3540.19
timestep: 481000, acc_reward: 3557.87
timestep: 482000, acc_reward: 3552.95
timestep: 483000, acc_reward: 3457.55
timestep: 484000, acc_reward: 3536.54
timestep: 485000, acc_reward: 3513.79
timestep: 486000, acc_reward: 3464.44
timestep: 487000, acc_reward: 3456.03
timestep: 488000, acc_reward: 3480.11
timestep: 489000, acc_reward: 3428.30
timestep: 490000, acc_reward: 3495.94
timestep: 491000, acc_reward: 3424.08
timestep: 492000, acc_reward: 3335.71
timestep: 493000, acc_reward: 3485.88
timestep: 494000, acc_reward: 2660.95
timestep: 495000, acc_reward: 3428.70
timestep: 496000, acc_reward: 2788.71
timestep: 497000, acc_reward: 3457.63
timestep: 498000, acc_reward: 3343.96
timestep: 499000, acc_reward: 3079.84
timestep: 500000, acc_reward: 3504.98
